ID,pregunta,a,b,c,d,respuesta
1,¿Que significa conducir a la defensiva?,Conducir siempre a la maxima velocidad permitida,Estar atento a los demas y anticipar posibles riesgos,Mantenerse solo en el carril izquierdo,Conducir sin distracciones pero a alta velocidad,Estar atento a los demas y anticipar posibles riesgos
2,¿Que debe hacer si un peat??n cruza por un paso peatonal sin sem??foro?,Continuar si tiene prioridad,Detenerse y permitirle cruzar,Tocar el claxon,Pasar lentamente,Detenerse y permitirle cruzar
3,¿Que debe hacer cuando vea a una persona ciega cruzando con un bast??n blanco o perro gu??a?,Detenerse completamente y ceder el paso,Pitar para avisarle,Continuar con cuidado,Cambiar de carril,Detenerse completamente y ceder el paso
4,¿Que distancia m??nima debe dejar al rebasar a un ciclista en la v??a p??blica?,1 pie,3 pies,5 pies,10 pies,3 pies
5,¿Que debe hacer al acercarse a una zona escolar donde hay ni??os presentes?,Acelerar para salir rapido de la zona,Reducir la velocidad y estar atento a los peatones,Mantener la velocidad normal,Cambiar de carril,Reducir la velocidad y estar atento a los peatones
6,¿Que deben hacer los conductores mayores de 70 a??os para renovar su licencia en California?,Renovarla solo por internet,Presentarse en persona y aprobar examen de vista,Hacer una cita medica,Solo pagar la renovacion,Presentarse en persona y aprobar examen de vision
7,¿Que debe hacer cuando un ciclista extiende su brazo izquierdo hacia abajo?,Se detendra,Va a girar a la derecha,Va a girar a la izquierda,Va a adelantar un vehiculo,Se detendra
8,¿Que comportamiento debe tener con los adultos mayores que conducen lentamente?,Tocarle el claxon para apurarlos,Rebasarlos con cuidado y paciencia,Conducir muy cerca para presionarlos,Cambiar de carril sin señalizar,Rebasarlos con cuidado y paciencia
9,¿Que debe hacer si una bicicleta comparte su mismo carril?,Rebasarla inmediatamente,Mantener una distancia segura detras del ciclista,Pitar para que se aparte,Acelerar para pasarla,Mantener una distancia segura detras del ciclista
10,¿Que debe hacer si ve un grupo de peatones cruzando lentamente en una interseccion?,Continuar si la luz esta verde,Esperar hasta que todos crucen completamente,Avanzar despacio entre ellos,Tocar el claxon para que se apuren,Esperar hasta que todos crucen completamente
11,"¿Que debe hacer si esta involucrado en un accidente con da??os materiales mayores a $1,000?","Nada, si no hay heridos",Reportarlo al DMV dentro de los 10 dias,Esperar a que lo llame el seguro,Solo avisar a la policia,Reportarlo al DMV dentro de los 10 dias
12,¿Que debe hacer si golpea un vehiculo estacionado y el propietario no esta presente?,Dejar una nota con su informacion y reportarlo a la policia,Esperar una hora,Llamar a su compañia de seguros unicamente,Irse del lugar,Dejar una nota con su informacion y reportarlo a la policia
